code,title,units,prereqs,offered,corrupt
DEVP C221,"Climate, Energy and Development",3 Units, Graduate student standing or consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015, Fall 2014<br/>
Graduate seminar examining the role of energy science, technology, and policy in<br/>
international development. The course will look at how changes in the theory and practice<br/>
of energy systems and of international development have co-evolved over the past half-<br/>
century, and what opportunities exist going forward.<br/>
<br/>
A focus will be on rural and decentralized energy use, and the issues of technology, culture,<br/>
and",0
DEVP 222,Economics of Sustainable Resource Development,3 Units, Graduate student standing or consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course will introduce the basic concepts including economic welfare, externality, public good, global commons, policy approaches for dealing with externality, and techniques for quality analysis. It will include case studies where groups will design economic incentives and policy solutions to major problems. It will have sections on particular problems including climate change, water and air quality, animal waste, toxic contamination, forestry",0
DEVP 225,"Innovation, Product Development, and Marketing",3 Units, Graduate student standing or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course will introduce the basic concepts of innovation, product development, and marketing in developing countries. Students will analyze alternative knowledge and innovation systems, and the role of public and private sector interactions. The course will also introduce models of technology transfers, adoption, and diffusion of technology, as well as introduce students to basic principles of marketing, assessment of consumer choices",0
DEVP 227,Principles of Natural Resource Management,2 Units, Graduate student standing or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course will introduce concepts in natural resource management. Segment 1 will cover basic modeling, techniques, and methodology in natural resource mamangement and sustainability. Segment 2 will address genetic resources and agriculture. Segment 3 will cover principles of natural resource management, namely water and air, in the development context. Segment 4 profides an overview of major concepts in the conservation of biodiversity.",0
DEVP 228,Strategic Planning and Project Management,3 Units, Graduate student standing or consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A pragmatic, interdisciplinary introduction to strategic planning and project management, introducing students to a portfolio of models, tools, and techniques drawn from the private, nonprofit, and public sectors. It will offer an opportunity through case studies, simulations and class projects to apply those approaches in settings relevant to the development field.",0
DEVP C232,Foundations of Public Health,2 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The seminar will introduce core disciplines and concepts in public health, using a case-based, integrated approach. Examples of cases discussed include: respiratory disease and air pollution; tobacco control and prevention of smoking-related conditions; disease elimination or eradication via childhood immunization; environmental control and prevention of schistosomiasis; behavior change and prevention of HIV/AIDS; and novel economic approaches",0
DEVP 233,"Law, Politics, and Policymaking",3 Units, Graduate student standing or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Law, Politics, and Policymaking will introduce students to principles of law, the mechanisms of politics, political economy, and policymaking delving into fundamentals of business, as well as environmental, international, and human rights law in the context of development. This course will provide students with insights into real-world contexts in which sustainable development practice takes place. It will consist of case studies of political",0
DEVP 237,"Leadership, Conflict Resolution, and Community Development",3 Units, Graduate student standing or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This three-segment course starts with critical evaluation of literature and methods for communal natural resource management, followed by a segment that emphasizes leadership skills and conflict resolution approaches for development. The third segment will address issues of conflict and policymaking in a global context and provide the institutional perspective of development organizations and strategies.",0
DEVP 239,Interactive/Multidisciplinary Seminar,2 Units, Graduate student standing or consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course provides an opportunity for Master of Development Practice students to interact with a diverse group of invited guest speakers, including academics and practitioners. It will also provide opportunities for group discussion of basic questions, and it will provide opportunities to present ideas and discuss research and internship plans and experiences.",0
DEVP 246,Transboundary Water Conflict Resolution: The Israeli/Arab Case,3 Units,,"Terms offered: Spring 2016, Spring 2015<br/>
This course will cover technological, legal, and institutional mechanisms to resolve the water conflict between Israel and its Arab neighbors, emphasizing the agricultural, industrial, environmental and urban sectors that compete over this resource. Students will examine the distribution of available water resources in Israel among different users and sectors as well as between Israel and its neighbors.",0
DEVP 295,Implementation and Assessment of Internationally-Funded Development Projects,1 Unit,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This course will bridge the gap between development theory and its application by sharing the challenges that arise from: i) the implementation of projects and programs supported by international financing institutions like IFAD; and ii) the assessment of their impact. Since the mandate of IFAD is to focus on fighting rural poverty, the seminar will cover a range of topics regarding: i) sectoral/sub-sectoral domains such as rural development, natural",0
DEVP 296,Innovative Finance for Development,1 Unit,,"Terms offered: Spring 2018, Spring 2017<br/>
This course will focus on the means and methods of finance applied to social, economic, and environmental challenges facing developing economies. It will survey the application of innovative financing emerging through new products and services, new processes and operations and organizational forms in addressing problems as diverse as entrepreneurial finance, renewable energy, environmental finance, global health, accelerating medical solutions, regional",0
DEVP 299,Independent Study,2 - 4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised Independent Study and Research",0
