code,title,units,prereqs,offered,corrupt
DUTCH 1,Elementary Dutch,5 Units,,"Offered through: German<br/>
Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
Dutch language course for beginners. Focus of the course is on acquiring basic communicative competence in the language, i.e., developing the ability to appropriatly use the language (spoken as well as written) in authentic situations.",0
DUTCH 2,Elementary Dutch,5 Units, 1 or equivalent,"Offered through: German<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
In this course, one reinforces and expands knowledge of grammar and vocabulary, increases fluency through oral and written exercises, and builds on the knowledge and skills acquired in 1.",0
DUTCH 100,Dutch for Reading Knowledge,3 Units,,"Offered through: German<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This is a Dutch language course developed for students with no previous knowledge of the Dutch language. The course is designed for students, primarily graduate students, who need to learn how to translate Dutch texts in their area of expertise in order to be able to use Dutch materials for their dissertation. There is a strong emphasis on grammar, syntax, and basic Dutch vocabulary. The course is open to all",0
DUTCH 110,Advanced Dutch,4 Units, 2 or equivalent,"Offered through: German<br/>
Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Includes a grammar review with exercises (Jenneke Osterhoff, Intermediate Dutch). Conversation is taken to a higher plane, role playing becomes increasingly important, newspaper articles of the more difficult papers are read, and radio programs and television programs are listened to and watched. These activities provide material for short essay assignments. Problems in the essays create occasions for more grammar ",0
DUTCH 125,Conversation and Composition,4 Units, 110 or consent of instructor,"Offered through: German<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
This course is designed to improve both the oral and written style of the student in Dutch, employing a variety of sources ranging from the newspaper to the essay to the creative forms (poetry, short story). The art of correspondence, both formal and informal, will be taught as well as the widely-varying spoken styles.",0
DUTCH C164,The Indonesian Connection: Dutch Literature About the Indies in English Translation,4 Units,,"Offered through: German<br/>
Terms offered: Spring 2018, Spring 2014, Spring 2010<br/>
In postcolonial thought on European claims to cultural supremacy, the case of the ""Dutch East-Indies"" (the future Indonesia) still arouses questions like: What made the Dutch colonial policy different from that of other European powers? What were the main characteristics of the ""Dutch East-Indies""? How did a small country like the Netherlands manage to rule a territory that was fifty-two times",0
DUTCH 171AC,"From New Amsterdam to New York: Race, Culture, and Identity in New Netherland",4 Units,,"Offered through: German<br/>
Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
What would it mean to begin modern American history on the island of Manhattan instead of New England? We intend to question the Anglo-American perspective on the representation of cultural identity, national identity, ethnicity, and race by constrasting the traditional foundation story of the United States with that of the 17th-century Dutch colony on Manhattan. Readings will include historical and ethnographic writings",0
DUTCH 177,"The Amsterdam-Brussels Connection: The Art, History, and Literature of the Netherlands and Flanders",6 Units,,"Offered through: German<br/>
Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2010 10 Week Session<br/>
With the 17th-century ""Golden Age"" as its starting point, the course traces the important cultural developments in Holland and Belgium (Flanders) up to the present. The interdisciplinary curriculum provides a clear picture of these two constrasting monarchies. The historical, cultural, and linguistic relationship is a constant focus of the course.",0
DUTCH C178,Cultural Studies,4 Units,,"Offered through: German<br/>
Terms offered: Spring 2016, Spring 2012, Fall 2009<br/>
Although the Caribbean has been recognized in recent years as being one of the most compelling areas in regard to questions of interculturality, hybridity, and miscegenation, the Dutch-speaking part of it has somehow been neglected. This course intends to give an opportunity to those who do not necessarily have a command of Dutch language, but wish to complete their knowledge of Latin-American and Carribean history",0
DUTCH 190,Senior Thesis,4 Units,,"Offered through: German<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A major research paper in the areas of Dutch literature, culture, or the area of linguistics. Required of all majors.",0
DUTCH H196,Honors Studies in Dutch,1 - 4 Units, Advanced standing,"Offered through: German<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised independent study and research course for honors students.",0
DUTCH 198,Directed Group Study,1 - 4 Units,,"Offered through: German<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0
DUTCH 199,Special Studies in Dutch,1 - 4 Units, Overall G.P.A. of 3.0,"Offered through: German<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Enrollment is restricted by regulations in .",0
DUTCH 299,Individual Studies in Dutch for Graduate Students,1 - 8 Units,,"Offered through: German<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
For graduate students engaged in exploration of a restricted field, involving the writing of a research paper.",0
