code,title,units,prereqs,offered,corrupt,prereqs_parsed
ASTRON 7A,Introduction to Astrophysics,4 Units," Math 1A -1B. Physics 5A, 5B/5BL, 5C/5CL or Physics 7A/B","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This is the first part of an overview of astrophysics, with an emphasis on the way in which physics is applied to astronomy. This course deals with the solar system and stars, while 7B covers galaxies and cosmology. Solar system topics include orbital mechanics, geology of terrestrial planets, planetary atmospheres, and the formation of the solar system. The study of stars will treat determination of observations, properties and stellar structure",0,MATH1A&MATH1B&(PHYSICS5A|PHYSICS5B|PHYSICS5C|(PHYSICS7A&PHYSICS7B))
ASTRON 7B,Introduction to Astrophysics,4 Units," Math 1A-1B or their equivalent. Physics 5A, 5B/5BL, 5C/5CL or Physics 7ABC","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This is the second part of an overview of astrophysics, which begins with 7A. This course covers the Milky Way galaxy, star formation and the interstellar medium, galaxies, black holes, quasars, dark matter, the expansion of the universe and its large-scale structure, and cosmology and the Big Bang. The physics in this course includes that used in 7A (mechanics and gravitation; kinetic theory of gases; properties of radiation and radiative",0,MATH1A&MATH1B&(PHYSICS5A|PHYSICS5B|PHYSICS5C|(PHYSICS7A&PHYSICS7B&PHYSICS7C))
ASTRON 9,Selected Topics in Astronomy,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
This seminar will explore one of a variety of subjects in greater depth than in introductory courses. Possible topics include stars, galaxies, the solar system, the interstellar medium, relativity and cosmology, history of astronomy, observational astronomy, and life in the universe.",0,
ASTRON 10,Introduction to General Astronomy,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session<br/>
A description of modern astronomy with emphasis on the structure and evolution of stars, galaxies, and the Universe. Additional topics optionally discussed include quasars, pulsars, black holes, and extraterrestrial communication, etc. Individual instructor's synopses available from the department.",0,
ASTRON C10,Introduction to General Astronomy,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A description of modern astronomy with emphasis on the structure and evolution of stars, galaxies, and the Universe. Additional topics optionally discussed include quasars, pulsars, black holes, and extraterrestrial communication, etc. Individual instructor's synopses available from the department.",0,
ASTRON C12,The Planets,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
A tour of the mysteries and inner workings of our solar system. What are planets made of? Why do they orbit the sun the way they do? How do planets form, and what are they made of? Why do some bizarre moons have oceans, volcanoes, and ice floes? What makes the Earth hospitable for life? Is the Earth a common type of planet or some cosmic quirk? This course will introduce basic physics, chemistry, and math to understand planets, moons, rings",0,
ASTRON W12,The Planets,3 Units,,"Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Summer 2016 10 Week Session, Summer 2015 8 Week Session<br/>
A tour of the mysteries and inner workings of our solar system. What are planets made of? Why do they orbit the sun the way they do? How do planets form, and what are they made of? Why do some bizarre moons have oceans, volcanoes, and ice floes? What makes the Earth hospitable for life? Is the Earth a common type of planet or some cosmic quirk? This course will introduce",0,
ASTRON C13,Origins: from the Big Bang to the Emergence of Humans,4 Units,,"Terms offered: Fall 2016, Fall 2014, Fall 2013<br/>
This course will cover our modern scientific understanding of origins, from the Big Bang to the formation of planets like Earth, evolution by natural selection, the genetic basis of evolution, and the emergence of humans. These ideas are of great intrinsic scientific importance and also have far reaching implications for other aspects of people's lives (e.g., philosophical, religious, and political). A major theme will be the scientific method",0,
ASTRON 84,Sophomore Seminar,1 or 2 Units, At discretion of instructor,"Terms offered: Spring 2017, Fall 2016, Fall 2015<br/>
Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",0,???
ASTRON 98,Directed Group Study,1 - 4 Units, Restricted to freshmen and sophomores; consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Topics will vary with instructor.",0,???
